date,water_precipitation,water_height,water_flow,water_volume,water_volume_variation
1990-09-22,11.5,30.61,1.1,9050203.0,-127391.0
1990-09-23,0.0,30.58,1.1,8987253.0,-62950.0
1990-09-24,0.0,30.54,1.1,8903817.0,-83436.0
1990-09-25,0.0,30.49,1.0,8799895.0,-103922.0
1990-09-26,0.0,30.44,1.0,8697465.0,-102430.0
1990-09-27,0.0,30.39,1.0,8595408.0,-102057.0
1990-09-28,2.4,30.34,1.0,8494842.0,-100566.0
1990-09-29,12.9,30.28,1.0,8374909.0,-119933.0
1990-09-30,3.8,30.22,1.0,8256467.0,-118442.0
1990-10-01,0.0,30.18,1.5,8178252.0,-78215.0
1990-10-02,0.8,30.14,1.3,8100783.0,-77469.0
1990-10-03,28.0,30.1,1.3,8023313.0,-77470.0
1990-10-04,0.0,30.1,1.3,8023313.0,0.0
1990-10-05,0.0,30.07,1.3,7966330.0,-56983.0
1990-10-06,9.5,30.03,1.3,7890352.0,-75978.0
1990-10-07,0.0,30.0,1.3,7833369.0,-56983.0
1990-10-08,0.0,29.95,1.28,7740006.0,-93363.0
1990-10-09,0.0,29.92,1.2,7683989.0,-56017.0
1990-10-10,0.0,29.88,1.26,7609841.0,-74148.0
1990-10-11,0.0,29.84,1.2,7536236.0,-73605.0
1990-10-12,2.4,29.8,1.2,7462631.0,-73605.0
1990-10-13,8.2,29.76,1.2,7390110.0,-72521.0
1990-10-14,36.0,29.72,1.2,7317589.0,-72521.0
1990-10-15,7.0,29.76,1.2,7390110.0,72521.0
1990-10-16,30.0,29.83,1.2,7517835.0,127725.0
1990-10-17,3.5,29.95,1.29,7740006.0,222171.0
1990-10-18,2.0,30.04,1.3,7909347.0,169341.0
1990-10-19,0.0,30.06,1.3,7947335.0,37988.0
1990-10-20,6.5,30.07,1.3,7966330.0,18995.0
1990-10-21,3.4,30.08,1.2,7985324.0,18994.0
1990-10-22,8.3,30.1,1.2,8023313.0,37989.0
1990-10-23,0.0,30.11,1.3,8042680.0,19367.0
1990-10-24,3.0,30.13,1.3,8081415.0,38735.0
1990-10-25,25.0,30.14,1.3,8100783.0,19368.0
1990-10-26,3.2,30.22,1.3,8256467.0,155684.0
1990-10-27,25.5,30.38,1.39,8575295.0,318828.0
1990-10-28,5.0,30.47,1.4,8758953.0,183658.0
1990-10-29,16.5,30.58,3.2,8987253.0,228300.0
1990-10-30,30.0,30.61,3.7,9050203.0,62950.0
1990-10-31,13.8,30.78,3.8,9414127.0,363924.0
1990-11-01,8.8,30.85,5.8,9567225.0,153098.0
1990-11-02,8.3,30.8,5.8,9457337.0,-109888.0
1990-11-03,0.0,30.72,5.7,9284499.0,-172838.0
1990-11-04,0.0,30.66,5.7,9156362.0,-128137.0
1990-11-05,0.0,30.57,5.6,8966394.0,-189968.0
1990-11-06,0.0,30.46,5.5,8738437.0,-227957.0
1990-11-07,0.0,30.31,5.5,8434502.0,-303935.0
1990-11-08,0.0,30.17,5.3,8158885.0,-275617.0
1990-11-09,11.0,30.03,5.3,7890352.0,-268533.0
1990-11-10,0.0,29.96,4.0,7758679.0,-131673.0
1990-11-11,0.0,29.91,4.0,7665316.0,-93363.0
1990-11-12,0.0,29.84,4.0,7536236.0,-129080.0
1990-11-13,0.0,29.84,1.5,7536236.0,0.0
1990-11-14,0.0,29.86,1.5,7573039.0,36803.0
1990-11-15,0.0,29.88,1.5,7609841.0,36802.0
1990-11-16,0.0,29.9,1.5,7646644.0,36803.0
1990-11-17,0.0,29.91,1.5,7665316.0,18672.0
1990-11-18,0.0,29.92,1.5,7683989.0,18673.0
1990-11-19,0.0,29.93,1.5,7702661.0,18672.0
1990-11-20,11.5,29.94,1.5,7721334.0,18673.0
1990-11-21,18.0,30.02,1.6,7871358.0,150024.0
1990-11-22,5.2,30.07,3.0,7966330.0,94972.0
1990-11-23,19.0,30.02,6.4,7871358.0,-94972.0
1990-11-24,19.0,30.0,6.4,7833369.0,-37989.0
1990-11-25,23.3,30.09,9.2,8004319.0,170950.0
1990-11-26,22.0,30.06,10.1,7947335.0,-56984.0
1990-11-27,20.8,30.14,12.6,8100783.0,153448.0
1990-11-28,0.0,30.18,13.4,8178252.0,77469.0
1990-11-29,0.0,30.05,13.4,7928341.0,-249911.0
1990-11-30,0.0,29.78,9.8,7426370.0,-501971.0
1990-12-01,0.0,29.45,9.6,6840271.0,-586099.0
1990-12-02,0.0,29.36,9.3,6685503.0,-154768.0
1990-12-03,0.0,29.15,8.4,6332962.0,-352541.0
1990-12-04,0.0,29.1,5.7,6250444.0,-82518.0
1990-12-05,0.0,29.18,2.8,6382474.0,132030.0
1990-12-06,0.0,29.29,2.9,6566453.0,183979.0
1990-12-07,8.0,29.33,5.9,6634366.0,67913.0
1990-12-08,21.5,29.24,5.8,6482580.0,-151786.0
1990-12-09,18.0,29.25,5.8,6499354.0,16774.0
1990-12-10,1.0,29.33,7.9,6634366.0,135012.0
1990-12-11,3.8,29.36,8.9,6685503.0,51137.0
1990-12-12,4.0,29.18,8.8,6382474.0,-303029.0
1990-12-13,0.0,28.97,8.6,6040243.0,-342231.0
1990-12-14,0.0,28.76,7.2,5710101.0,-330142.0
1990-12-15,0.0,28.59,7.1,5451549.0,-258552.0
1990-12-16,0.0,28.43,6.9,5215880.0,-235669.0
1990-12-17,0.0,28.28,4.9,5001155.0,-214725.0
1990-12-18,0.0,28.23,4.8,4931058.0,-70097.0
1990-12-19,0.0,28.33,2.1,5072084.0,141026.0
1990-12-20,0.0,28.43,2.2,5215880.0,143796.0
1990-12-21,0.0,28.5,2.2,5317894.0,102014.0
1990-12-22,0.0,28.58,2.3,5436698.0,118804.0
1990-12-23,7.8,28.63,2.4,5511782.0,75084.0
1990-12-24,5.3,28.67,2.4,5572292.0,60510.0
1990-12-25,3.5,28.73,2.4,5663888.0,91596.0
1990-12-26,14.0,28.77,2.5,5725506.0,61618.0
1990-12-27,2.5,28.87,2.6,5881490.0,155984.0
1990-12-28,5.8,28.88,2.7,5897171.0,15681.0
1990-12-29,33.0,29.13,2.8,6299955.0,402784.0
1990-12-30,20.0,29.33,9.5,6634366.0,334411.0
1990-12-31,0.0,29.57,9.6,7049973.0,415607.0
1991-01-01,0.0,29.58,9.6,7067561.0,17588.0
1991-01-02,0.0,29.52,9.0,6962032.0,-105529.0
1991-01-03,17.6,29.4,5.9,6753687.0,-208345.0
1991-01-04,0.0,29.86,3.1,7573039.0,819352.0
1991-01-05,8.6,29.85,3.3,7554637.0,-18402.0
1991-01-06,20.0,30.02,9.3,7871358.0,316721.0
1991-01-07,11.0,30.3,13.4,8414389.0,543031.0
1991-01-08,14.0,30.63,16.5,9092666.0,678277.0
1991-01-09,6.5,30.7,16.7,9241289.0,148623.0
1991-01-10,32.0,30.92,16.8,9721814.0,480525.0
1991-01-11,1.8,31.45,17.4,10948721.0,1226907.0
1991-01-12,0.0,31.89,17.8,12035303.0,1086582.0
1991-01-13,0.0,32.01,18.7,12346004.0,310701.0
1991-01-14,0.0,31.92,18.5,12112529.0,-233475.0
1991-01-15,1.5,31.79,18.4,11780042.0,-332487.0
1991-01-16,2.6,31.54,18.1,11156331.0,-623711.0
1991-01-17,2.4,31.26,17.8,10498169.0,-658162.0
1991-01-18,15.2,31.0,17.8,9900619.0,-597550.0
1991-01-19,0.0,30.92,13.8,9721814.0,-178805.0
1991-01-20,0.0,30.81,13.8,9479315.0,-242499.0
1991-01-21,0.0,30.65,11.2,9135130.0,-344185.0
1991-01-22,0.0,30.57,6.8,8966394.0,-168736.0
1991-01-23,0.0,30.64,6.9,9113898.0,147504.0
1991-01-24,0.0,30.71,6.5,9262893.0,148995.0
1991-01-25,0.0,30.75,6.5,9349313.0,86420.0
1991-01-26,0.0,30.79,6.5,9435732.0,86419.0
1991-01-27,0.0,30.81,6.5,9479315.0,43583.0
1991-01-28,3.6,30.81,6.5,9479315.0,0.0
1991-01-29,27.0,30.89,6.5,9655135.0,175820.0
1991-01-30,0.0,31.07,6.6,10059536.0,404401.0
1991-01-31,3.7,31.14,6.6,10219779.0,160243.0
1991-02-01,18.0,31.15,6.6,10242812.0,23033.0
1991-02-02,0.0,31.29,6.6,10568263.0,325451.0
1991-02-03,0.0,31.4,6.7,10828587.0,260324.0
1991-02-04,6.2,31.44,6.7,10924695.0,96108.0
1991-02-05,10.6,31.46,6.7,10972748.0,48053.0
1991-02-06,23.7,31.5,9.9,11058440.0,85692.0
1991-02-07,15.0,31.14,10.8,10219779.0,-838661.0
1991-02-08,26.0,31.4,11.2,10828587.0,608808.0
1991-02-09,12.5,31.48,16.7,11020802.0,192215.0
1991-02-10,0.0,31.52,13.2,11107320.0,86518.0
1991-02-11,0.0,31.46,13.2,10972748.0,-134572.0
1991-02-12,0.0,31.54,13.0,11156331.0,183583.0
1991-02-13,0.0,31.23,13.0,10428075.0,-728256.0
1991-02-14,0.0,31.15,11.0,10242812.0,-185263.0
1991-02-15,26.0,31.2,8.9,10357981.0,115169.0
1991-02-16,36.0,31.23,10.1,10428075.0,70094.0
1991-02-17,0.0,31.5,11.2,11058440.0,630365.0
1991-02-18,7.8,31.73,11.4,11628474.0,570034.0
1991-02-19,0.0,31.56,11.2,11205472.0,-423002.0
1991-02-20,3.0,31.38,13.1,10781195.0,-424277.0
1991-02-21,3.0,31.27,13.0,10521533.0,-259662.0
1991-02-22,0.0,31.2,13.0,10357981.0,-163552.0
1991-02-23,0.0,31.12,13.0,10173711.0,-184270.0
1991-02-24,0.0,31.02,12.9,9946024.0,-227687.0
1991-02-25,0.0,30.93,6.9,9744165.0,-201859.0
